,edge,edge_text
0,(('/Mv.|f-----/en (can/Mm/en (not/Mn/en kill/Pd.so.-i-----/en))) he/Ci/en (+/B.mm/. them/Ci/en all/Cd/en)),he 'cannot kill them all
1,(('d/Mm/en (likely/M/en kill/Pd.so.-i-----/en)) it/Ci/en you/Ci/en),it 'd likely kill you
2,(('d/Mm/en (rather/M/en kill/Pd.rso.-i-----/en)) (gives/P.sox.|f--3s-/en (11/M#/en (+/B.am/. (+/B.am/. year/Cp.s/en (+/B.am/. old/Cp.s/en yemeni/Ca/en)) girl/Cc.s/en)) (+/B.am/. profound/Cp.s/en monologue/Cp.s/en) (on/T/en (arranged/Ma/en marriage/Cc.s/en))) i/Ci/en myself/Ci/en),11 Year-Old Yemeni Girl Gives Profound Monologue On Arranged Marriage: I'd Rather Kill Myself
3,(('d/Mm/en kill/Pd.so.-i-----/en) i/Ci/en ('/Bp.am/en homosexuals/Cc.p/en (+/B.am/. video/Cc.s/en recording/Cc.s/en))),I'd Kill Homosexuals' Video Recording
4,(('ll/Mm/en kill/P.so.-i-----/en) he/Ci/en (corrupt/Ma/en journalists/Cc.p/en)),He'll Kill Corrupt Journalists
5,(('ll/Mm/en kill/P.so.-i-----/en) we/Ci/en infidels/Cc.p/en),We'll kill infidels
6,(('ll/Mm/en kill/P.so.-i-----/en) we/Ci/en them/Ci/en),We'll kill them
7,(('ll/Mm/en kill/P.so?.-i-----/en) they/Ci/en wives/Cc.p/en (indulge/P!.x.|f-----/en (in/T/en (illicit/Ma/en sex/Cc.s/en)))),"they'll kill wives, indulge in illicit sex"
8,(('ll/Mm/en kill/Pd.so.-i-----/en) i/Ci/en you/Ci/en),I'll kill you
9,(('ll/Mm/en kill/Pd.so.-i-----/en) we/Ci/en you/Ci/en),We'll kill you
10,(('ll/Mm/en kill/Pd.so.-i-----/en) you/Ci/en it/Ci/en),you 'll kill it
11,(('ll/Mm/en kill/Pd.so?.-i-----/en) they/Ci/en you/Ci/en ((painfully/M/en and/Mj/en) thoroughly/C/en)),They'll kill you painfully and thoroughly
12,(('s/Mv.|f--3s-/en killing/P?.so.|pg----/en) what/Cw/en (all/M/en (the/Md/en (+/B.am/. (+/B.am/. north/Cp.s/en sea/Cp.s/en) seals/Cc.p/en)))),What's killing all the North Sea seals
13,(('s/Mv.|f--3s-/en killing/Pd.sor.|pg----/en) he/Ci/en (the/Md/en children/Cc.p/en) ((how/M/en left/P.soo.<f-----/en) (through/Br.ma/en ('s/Bp.am/en (+/B.am/. teen/Cc.s/en gunman/Cc.s/en) rampage/Cc.s/en) munich/Cp.s/en) nine/C#/en dead/Ca/en)),He's killing the children': How teen gunman's rampage through Munich left nine dead
14,(('ve/Mv.|f-----/en arrested/P.so.<pf----/en) they/Ci/en (2/M#/en suspects/Cc.p/en)),they've arrested 2 suspects
15,(('ve/Mv.|f-----/en killed/Pd.sso.<pf----/en) (of/Br.ma/en (+/B.am/. (+/B.am/. (+/B.am/. peshawar/Cp.s/en school/Cc.s/en) massacre/Cc.s/en) (final/Ma/en transcript/Cc.s/en)) (+/B.am/. taliban/Cp.s/en militants/Cc.p/en)) we/Ci/en (all/M/en (the/Md/en (+/B.mm/. children/Cc.p/en '/C/en)))),Peshawar school massacre Final transcript of Taliban militants 'we've killed all the children'
16,(((a/Md/en russian/Ma/en) accuses/Pd.so.|f--3s-/en) russia/Cp.s/en (of/Jr.ma/en west/Cp.s/en (playing/P.o.|pg----/en (in/Br.ma/en (+/B.am/. geopolitical/Cp.s/en game/Cp.s/en) ukraine/Cp.s/en)))),A Russian Russia Accuses West of Playing Geopolitical Game in Ukraine
17,(((is/Mv.|f--3s-/en now/M/en) warning/Pd.so.|pg----/en) (chinese/Ma/en media/Cc.p/en) (’s/Bp.am/en canada/Cp.s/en (+/B.am/. housing/Cp.s/en crash/Cc.s/en))),Chinese Media Is Now Warning Canada’s Housing Crash
18,(((not/Mj/en only/M/en) kill/P.so.|f-----/en) who/Cw/en (their/Mp/en enemies/Cc.p/en)),who not only kill their enemies
19,"(((so/M/en far/M/en) (has/Mv.|f--3s-/en killed/P.so.<pf----/en)) that/C/en ((more/Mc/en (than/M/en 1,000/M#/en)) people/Cc.p/en))","that has killed more than 1,000 people so far"
20,(((so/M/en far/M/en) (has/Mv.|f--3s-/en killed/P.so.<pf----/en)) which/C/en (16/M#/en people/Cc.p/en)),which has killed 16 people so far
21,(((so/M/en far/M/en) (has/Mv.|f--3s-/en killed/Pd.sso.<pf----/en)) (+/B.mm/. (human/Ma/en deaths/Cc.p/en) (on/Br.ma/en (of/Br.ma/en cases/Cc.p/en (+/B.am/. h7n9/Cm/en (avian/Ma/en flu/Cp.s/en))) (in/Br.ma/en rise/Cc.s/en china/Cp.s/en))) (+/B.am/. bird/Cc.s/en flu/Cc.s/en) (19/M#/en people/Cc.p/en)),"Human deaths, cases of H7N9 avian flu on rise in China: bird flu has killed 19 people so far"
22,(((why/M/en are/Mv.|f-----/en) killing/P?.so.|pg----/en) ((so/M/en many/Ma/en) (elderly/Ma/en asians/Cp.p/en)) themselves/Ci/en),Why are so many elderly Asians killing themselves
23,(((worst/Ms/en ever/M/en) (is/Mv.|f--3s-/en killing/Pd.so.|pg----/en)) (toxic/Ma/en (+/B.am/. red/Cp.s/en tide/Cp.s/en)) (the/Md/en (+/B.am/. fishing/Cp.s/en industry/Cc.s/en))),Worst Ever' Toxic Red Tide is Killing the Fishing Industry
24,"((,/Mj/en warns/P.so.-------/en) msf/Cp.s/en (on/Br.ma/en (+/B.am/. us/Cp.s/en pressure/Cc.s/en) india/Cp.s/en))",", MSF Warns US Pressure on India"
25,((aboard/M/en killed/P.so.<f-----/en) that/C/en (all/M/en (224/M#/en people/Cc.p/en))),that killed all 224 people aboard
26,((abroad/M/en (is/Mv.|f--3s-/en arresting/Pd.so.|pg----/en)) (chinese/Ma/en government/Cc.s/en) (of/Br.ma/en (the/Md/en families/Cc.p/en) (and/J/en (chinese/Ma/en critics/Cc.p/en) journalists/Cc.p/en))),Chinese government is arresting the families of Chinese critics and journalists abroad
27,((accidentally/M/en (may/Mm/en (have/Mv.-i-----/en killed/P.so.<pf----/en))) (+/B.am/. alexander/Cp.s/en litvinenko/Cp.s/en) himself/Ci/en),Alexander Litvinenko may have killed himself accidentally
28,((accidentally/M/en arrest/Pd.so.|f-----/en) (russian/Ma/en police/Cc.p/en) (in/Br.ma/en (only/M/en (+/B.am/. (+/B.am/. vladimir/Cp.s/en putin/Cp.s/en) supporter/Cc.s/en)) (of/Br.ma/en crowd/Cc.s/en (anti/Ma/en (-/Ma/en (putin/Ma/en demonstrators/Cc.p/en)))))),Russian police accidentally arrest only Vladimir Putin supporter in crowd of anti-Putin demonstrators
29,((accidentally/M/en kill/Pd.so.-i-----/en) (russian/Ma/en airstrikes/Cc.p/en) (three/M#/en (turkish/Ma/en soldiers/Cc.p/en))),Russian airstrikes accidentally kill three Turkish soldiers
30,((accidentally/M/en killed/P.so.<f-----/en) (its/Mp/en planes/Cc.p/en) (in/Br.ma/en (three/M#/en (turkish/Ma/en soldiers/Cc.p/en)) syria/Cp.s/en)),its planes accidentally killed three Turkish soldiers in Syria
31,((accidentally/M/en killed/Pd.so.<f-----/en) (+/B.am/. (+/B.am/. u%2es%2e/Cp.s/en drone/Cc.s/en) strike/Cc.s/en) (2/M#/en hostages/Cc.p/en)),U.S. drone strike accidentally killed 2 hostages
32,((accidentally/M/en kills/Pd.so.|f--3s-/en) (+/B.am/. suicide/Cc.s/en (+/B.am/. bomb/Cp.s/en instructor/Cp.s/en)) (+/B.am/. iraqi/Cp.s/en pupils/Cp.p/en)),Suicide Bomb Instructor Accidentally Kills Iraqi Pupils
33,((accidentally/M/en kills/Pd.so.|f--3s-/en) (iraqi/Ma/en (+/B.am/. suicide/Cc.s/en (+/B.am/. bombing/Cc.s/en instructor/Cc.s/en))) (and/J/en himself/Ci/en pupils/Cc.p/en)),Iraqi suicide bombing instructor accidentally kills himself and pupils
34,((accidentally/M/en kills/Pd.so??.|f--3s-/en) (+/B.am/. suicide/Cc.s/en (+/B.am/. bomb/Cp.s/en instructor/Cp.s/en)) (iraqi/Ma/en pupils/Cp.p/en) wenty/Cp.s/en ((were/Mv.<f-----/en killed/Pd.p?.<pf----/en) (two/M#/en militants/Cc.p/en) (attending/P.o.|pg----/en (a/Md/en (+/B.am/. suicide/Cc.s/en (+/B.am/. bombing/Cc.s/en training/Cc.s/en)))))),Suicide Bomb Instructor Accidentally Kills Iraqi Pupils: wenty-two militants attending a suicide bombing training were killed
35,((accidently/M/en kills/Pd.so.|f--3s-/en) (+/B.am/. nato/Cp.s/en raid/Cc.s/en) (afghan/Ma/en soldiers/Cc.p/en)),NATO raid accidently kills Afghan soldiers
36,((accidently/M/en kills/Pd.soo.|f--3s-/en) (+/B.am/. taliban/Cp.s/en (+/B.am/. bomb/Cc.s/en expert/Cc.s/en)) (and/Mj/en himself/Ci/en) (4/M#/en sons/Cc.p/en)),Taliban bomb expert accidently kills himself and 4 sons
37,((actually/M/en (do/Mv.|f-----/en (n't/Mn/en kill/Pd.so.-i-----/en))) we/Ci/en ourselves/Ci/en),actually we don't kill ourselves
38,((after/M/en killed/Pd.so.<f-----/en) (suspected/Mv.<pf----/en (israeli/Ma/en airstrike/Cc.s/en)) (in/Br.ma/en (a/Md/en (+/B.am/. hezbollah/Cp.s/en commander/Cc.s/en)) syria/Cp.s/en)),after suspected Israeli airstrike killed a Hezbollah commander in Syria
39,((after/M/en killed/Pd.so.<pf----/en) sinking/C/en (((at/M/en least/Ms/en) 700/M#/en) (+/B.am/. asylum/Cc.s/en seekers/Cc.p/en))),after sinking killed at least 700 asylum seekers
40,((after/M/en kills/Pd.so.|f--3s-/en) (veiled/Mv.<pf----/en woman/Cc.s/en) (2/M#/en jihadists/Cc.p/en)),after veiled woman kills 2 jihadists
41,((again/M/en accuses/Pd.sox.|f--3s-/en) (+/B.am/. chp/Cm/en (+/B.am/. (+/B.aa/. main/Cp.s/en (+/B.aa/. turkish/Cp.s/en opposition/Cm/en)) head/Cc.s/en)) (+/B.am/. turkish/Cp.s/en gov’t/C#/en) (of/T/en (sending/P.ox.|pg----/en arms/Cc.p/en (to/T/en jihadists/Cc.p/en)))),CHP [Main Turkish Opposition] head again accuses Turkish gov’t of sending arms to jihadists
42,((again/M/en arrest/Pd.so.|f-----/en) (+/B.am/. turkey/Cp.s/en police/Cc.p/en) (+/B.am/. (+/B.am/. erdogan/Cp.s/en critic/Cc.s/en) baransu/Cp.s/en)),Turkey police arrest Erdogan critic Baransu again
43,((again/M/en kill/Pd.so.-i-----/en) gunmen/Cc.p/en (+/B.am/. polio/Cp.s/en worker/Cp.s/en)),Gunmen Kill Polio Worker (again
44,((allegedly/M/en accuses/P.so.|f--3s-/en) that/C/en (of/Jr.ma/en (the/Md/en (+/B.am/. intelligence/Cc.s/en services/Cc.p/en)) (spying/P.x.|pg----/en (on/T/en (and/J/en (+/B.am/. rights/Cc.p/en activists/Cc.p/en) journalists/Cc.p/en))))),that allegedly accuses the intelligence services of spying on rights activists and journalists
45,"((allegedly/M/en arrested/Pd.so.<f-----/en) (+/B.am/. dominic/Cp.s/en chappell/Cp.s/en) ((over/M/en (£/M/en 500,000/M#/en)) (unpaid/Ma/en tax/Cc.s/en)))","Dominic Chappell allegedly arrested over £500,000 unpaid tax"
46,((allegedly/M/en kill/Pd.so.-i-----/en) (russian/Ma/en warplanes/Cp.p/en) (in/Br.ma/en scores/Cc.p/en (syrian/Ma/en city/Cp.s/en))),Russian Warplanes Allegedly Kill Scores In Syrian City
47,((allegedly/M/en killed/P.so.<f-----/en) that/C/en ((more/Mc/en (than/M/en 100/M#/en)) civilians/Cc.p/en)),that allegedly killed more than 100 civilians
48,((allegedly/M/en killed/P.so.<f-----/en) that/C/en (in/Br.ma/en ((up/M/en (to/Mi/en 40/M#/en)) civilians/Cp.p/en) iraq/Cp.s/en)),That Allegedly Killed Up to 40 Civilians in Iraq
49,((allegedly/M/en killed/P.so.<f-----/en) who/Cw/en (55/M#/en (+/B.mm/. people/Cc.p/en fighting/C/en))),who allegedly killed 55 people fighting
50,((allegedly/M/en killed/P.so.<f-----/en) who/Cw/en (his/Mp/en mother/Cc.s/en)),who allegedly killed his mother
51,((allegedly/M/en killed/P.so.<f-----/en) who/Cw/en (turkish/Ma/en protester/Cc.s/en)),Who Allegedly Killed Turkish Protester
52,((allegedly/M/en killed/Pd.so?.<f-----/en) nurse/Cp.s/en (38/M#/en (annoying/Ma/en patients/Cc.p/en)) (took/Pd.ox.<f-----/en selfies/Cc.p/en (with/T/en bodies/Cc.p/en))),"Nurse Allegedly Killed 38 Annoying Patients, Took Selfies With Bodies"
53,((allegedly/M/en kills/Pd.so.|f--3s-/en) (nigerian/Ma/en military/Cc.s/en) (+/B.am/. (+/B.am/. boko/Cp.s/en haram/Cp.s/en) cheif/Cp.s/en)),Nigerian military allegedly kills Boko Haram Cheif
54,((allegedly/M/en kills/Pd.so.|f--3s-/en) (syrian/Ma/en tenant/Cc.s/en) landlord/Cc.s/en),Syrian tenant allegedly kills landlord
55,((already/M/en kill/Pd.so.|f-----/en) (such/Ma/en infections/Cc.p/en) (+/B.ma/. (of/Br.ma/en (+/B.am/. hundreds/Cc.p/en (of/M/en thousands/Cc.p/en)) people/Cc.p/en) (a/Md/en year/Cc.s/en))),Such infections already kill hundreds of thousands of people a year
